id,name,kind
Gene::6869,TACR1,Gene
Gene::474,ATOH1,Gene
Gene::5138,PDE2A,Gene
Gene::6910,TBX5,Gene
Gene::3700,ITIH4,Gene
Gene::4303,FOXO4,Gene
Gene::3192,HNRNPU,Gene
Gene::5311,PKD2,Gene
Gene::130612,TMEM198,Gene
Gene::9220,TIAF1,Gene
Gene::2205,FCER1A,Gene
Gene::22890,ZBTB1,Gene
Gene::369,ARAF,Gene
Gene::54106,TLR9,Gene
Gene::8861,LDB1,Gene
Gene::817,CAMK2D,Gene
Gene::1278,COL1A2,Gene
Gene::30001,ERO1L,Gene
Gene::222546,RFX6,Gene
Gene::5970,RELA,Gene
Gene::7124,TNF,Gene
Gene::292,SLC25A5,Gene
Gene::143098,MPP7,Gene
Gene::157506,RDH10,Gene
Gene::2319,FLOT2,Gene
Gene::2149,F2R,Gene
Gene::10113,PREB,Gene
Gene::1525,CXADR,Gene
Gene::5692,PSMB4,Gene
Gene::25780,RASGRP3,Gene
Gene::55679,LIMS2,Gene
Gene::5950,RBP4,Gene
Gene::6579,SLCO1A2,Gene
Gene::5663,PSEN1,Gene
Gene::3638,INSIG1,Gene
Gene::5581,PRKCE,Gene
Gene::55655,NLRP2,Gene
Gene::10052,GJC1,Gene
Gene::3695,ITGB7,Gene
Gene::4058,LTK,Gene
Gene::546,ATRX,Gene
Gene::9056,SLC7A7,Gene
Gene::4987,OPRL1,Gene
Gene::130916,MTERF4,Gene
Gene::526,ATP6V1B2,Gene
Gene::11236,RNF139,Gene
Gene::8874,ARHGEF7,Gene
Gene::5896,RAG1,Gene
Gene::63910,SLC17A9,Gene
Gene::80199,FUZ,Gene
Gene::3195,TLX1,Gene
Gene::1082,CGB,Gene
Gene::2263,FGFR2,Gene
Gene::3559,IL2RA,Gene
Gene::51750,RTEL1,Gene
Gene::3569,IL6,Gene
Gene::10211,FLOT1,Gene
Gene::2560,GABRB1,Gene
Gene::144165,PRICKLE1,Gene
Gene::4891,SLC11A2,Gene
Gene::1813,DRD2,Gene
Gene::9700,ESPL1,Gene
Gene::5795,PTPRJ,Gene
Gene::55770,EXOC2,Gene
Gene::1307,COL16A1,Gene
Gene::948,CD36,Gene
Gene::5199,CFP,Gene
Gene::23673,STX12,Gene
Gene::5547,PRCP,Gene
Gene::5588,PRKCQ,Gene
Gene::6935,ZEB1,Gene
Gene::155,ADRB3,Gene
Gene::1495,CTNNA1,Gene
Gene::9181,ARHGEF2,Gene
Gene::57152,SLURP1,Gene
Gene::143471,PSMA8,Gene
Gene::9425,CDYL,Gene
Gene::2171,FABP5,Gene
Gene::9706,ULK2,Gene
Gene::9097,USP14,Gene
Gene::604,BCL6,Gene
Gene::3674,ITGA2B,Gene
Gene::554,AVPR2,Gene
Gene::8620,NPFF,Gene
Gene::217,ALDH2,Gene
Gene::85358,SHANK3,Gene
Gene::64083,GOLPH3,Gene
Gene::7323,UBE2D3,Gene
Gene::23780,APOL2,Gene
Gene::2584,GALK1,Gene
Gene::2260,FGFR1,Gene
Gene::3480,IGF1R,Gene
Gene::84941,HSH2D,Gene
Gene::4826,NNAT,Gene
Gene::133396,IL31RA,Gene
Gene::53615,MBD3,Gene
Gene::6095,RORA,Gene
Gene::3778,KCNMA1,Gene
Gene::5590,PRKCZ,Gene
Gene::182,JAG1,Gene
Gene::8575,PRKRA,Gene
Gene::5176,SERPINF1,Gene
Gene::8823,FGF16,Gene
Gene::2172,FABP6,Gene
Gene::64398,MPP5,Gene
Gene::1545,CYP1B1,Gene
Gene::80031,SEMA6D,Gene
Gene::51340,CRNKL1,Gene
Gene::10105,PPIF,Gene
Gene::389207,GRXCR1,Gene
Gene::5664,PSEN2,Gene
Gene::1729,DIAPH1,Gene
Gene::2902,GRIN1,Gene
Gene::57580,PREX1,Gene
Gene::8600,TNFSF11,Gene
Gene::6363,CCL19,Gene
Gene::5318,PKP2,Gene
Gene::51564,HDAC7,Gene
Gene::6915,TBXA2R,Gene
Gene::22985,ACIN1,Gene
Gene::8321,FZD1,Gene
Gene::2534,FYN,Gene
Gene::5260,PHKG1,Gene
Gene::8820,HESX1,Gene
Gene::1634,DCN,Gene
Gene::808,CALM3,Gene
Gene::388585,HES5,Gene
Gene::2002,ELK1,Gene
Gene::8897,MTMR3,Gene
Gene::10268,RAMP3,Gene
Gene::6607,SMN2,Gene
Gene::5179,PENK,Gene
Gene::8452,CUL3,Gene
Gene::23411,SIRT1,Gene
Gene::2272,FHIT,Gene
Gene::8362,HIST1H4K,Gene
Gene::3164,NR4A1,Gene
Gene::6401,SELE,Gene
Gene::814,CAMK4,Gene
Gene::9052,GPRC5A,Gene
Gene::23300,ATMIN,Gene
Gene::3456,IFNB1,Gene
Gene::1894,ECT2,Gene
Gene::3672,ITGA1,Gene
Gene::2778,GNAS,Gene
Gene::654,BMP6,Gene
Gene::6932,TCF7,Gene
Gene::3227,HOXC11,Gene
Gene::4846,NOS3,Gene
Gene::3127,HLA-DRB5,Gene
Gene::9331,B4GALT6,Gene
Gene::6609,SMPD1,Gene
Gene::64770,CCDC14,Gene
Gene::2147,F2,Gene
Gene::267,AMFR,Gene
Gene::245973,ATP6V1C2,Gene
Gene::81618,ITM2C,Gene
Gene::242,ALOX12B,Gene
Gene::23576,DDAH1,Gene
Gene::6453,ITSN1,Gene
Gene::6184,RPN1,Gene
Gene::9475,ROCK2,Gene
Gene::5465,PPARA,Gene
Gene::122706,PSMB11,Gene
Gene::35,ACADS,Gene
Gene::684,BST2,Gene
Gene::801,CALM1,Gene
Gene::3611,ILK,Gene
Gene::5031,P2RY6,Gene
Gene::79679,VTCN1,Gene
Gene::1289,COL5A1,Gene
Gene::1742,DLG4,Gene
Gene::114770,PGLYRP2,Gene
Gene::53981,CPSF2,Gene
Gene::7291,TWIST1,Gene
Gene::5598,MAPK7,Gene
Gene::3981,LIG4,Gene
Gene::9092,SART1,Gene
Gene::90,ACVR1,Gene
Gene::25855,BRMS1,Gene
Gene::4056,LTC4S,Gene
Gene::51010,EXOSC3,Gene
Gene::111,ADCY5,Gene
Gene::25898,RCHY1,Gene
Gene::314,AOC2,Gene
Gene::640,BLK,Gene
Gene::54963,UCKL1,Gene
Gene::6271,S100A1,Gene
Gene::81,ACTN4,Gene
Gene::7048,TGFBR2,Gene
Gene::1855,DVL1,Gene
Gene::9353,SLIT2,Gene
Gene::6799,SULT1A2,Gene
Gene::2621,GAS6,Gene
Gene::51142,CHCHD2,Gene
Gene::84634,KISS1R,Gene
Gene::466,ATF1,Gene
Gene::55107,ANO1,Gene
Gene::56978,PRDM8,Gene
Gene::1513,CTSK,Gene
Gene::3481,IGF2,Gene
Gene::5294,PIK3CG,Gene
Gene::7021,TFAP2B,Gene
Gene::5454,POU3F2,Gene
Gene::7005,TEAD3,Gene
Gene::128366,OR6P1,Gene
Gene::6339,SCNN1D,Gene
Gene::103910,MYL12B,Gene
Gene::9696,CROCC,Gene
Gene::5925,RB1,Gene
Gene::8195,MKKS,Gene
Gene::22806,IKZF3,Gene
Gene::5478,PPIA,Gene
Gene::2237,FEN1,Gene
Gene::29072,SETD2,Gene
Gene::84722,PSRC1,Gene
Gene::170850,KCNG3,Gene
Gene::7316,UBC,Gene
Gene::9532,BAG2,Gene
Gene::4504,MT3,Gene
Gene::2917,GRM7,Gene
Gene::145264,SERPINA12,Gene
Gene::3146,HMGB1,Gene
Gene::9604,RNF14,Gene
Gene::8399,PLA2G10,Gene
Gene::7462,LAT2,Gene
Gene::578,BAK1,Gene
Gene::79594,MUL1,Gene
Gene::1869,E2F1,Gene
Gene::4318,MMP9,Gene
Gene::9590,AKAP12,Gene
Gene::344838,PAQR9,Gene
Gene::51562,MBIP,Gene
Gene::56953,NT5M,Gene
Gene::905,CCNT2,Gene
Gene::5753,PTK6,Gene
Gene::5652,PRSS8,Gene
Gene::60681,FKBP10,Gene
Gene::54434,SSH1,Gene
Gene::2643,GCH1,Gene
Gene::1638,DCT,Gene
Gene::26985,AP3M1,Gene
Gene::9804,TOMM20,Gene
Gene::8767,RIPK2,Gene
Gene::146850,PIK3R6,Gene
Gene::5888,RAD51,Gene
Gene::25946,ZNF385A,Gene
Gene::477,ATP1A2,Gene
Gene::2981,GUCA2B,Gene
Gene::5296,PIK3R2,Gene
Gene::10125,RASGRP1,Gene
Gene::51000,SLC35B3,Gene
Gene::10008,KCNE3,Gene
Gene::3199,HOXA2,Gene
Gene::3791,KDR,Gene
Gene::54437,SEMA5B,Gene
Gene::7022,TFAP2C,Gene
Gene::140710,SOGA1,Gene
Gene::7099,TLR4,Gene
Gene::57088,PLSCR4,Gene
Gene::3205,HOXA9,Gene
Gene::1436,CSF1R,Gene
Gene::377630,USP17L2,Gene
Gene::163,AP2B1,Gene
Gene::1908,EDN3,Gene
Gene::9734,HDAC9,Gene
Gene::5469,MED1,Gene
Gene::8928,FOXH1,Gene
Gene::23339,VPS39,Gene
Gene::80221,ACSF2,Gene
Gene::4633,MYL2,Gene
Gene::7128,TNFAIP3,Gene
Gene::84072,HORMAD1,Gene
Gene::5688,PSMA7,Gene
Gene::8139,GAN,Gene
Gene::3706,ITPKA,Gene
Gene::91461,PKDCC,Gene
Gene::8837,CFLAR,Gene
Gene::23236,PLCB1,Gene
Gene::27302,BMP10,Gene
Gene::5156,PDGFRA,Gene
Gene::2676,GFRA3,Gene
Gene::1991,ELANE,Gene
Gene::56926,NCLN,Gene
Gene::51364,ZMYND10,Gene
Gene::2932,GSK3B,Gene
Gene::28973,MRPS18B,Gene
Gene::56034,PDGFC,Gene
Gene::8788,DLK1,Gene
Gene::3107,HLA-C,Gene
Gene::55697,VAC14,Gene
Gene::23557,SNAPIN,Gene
Gene::55626,AMBRA1,Gene
Gene::5048,PAFAH1B1,Gene
Gene::114088,TRIM9,Gene
Gene::7251,TSG101,Gene
Gene::5507,PPP1R3C,Gene
Gene::10694,CCT8,Gene
Gene::516,ATP5G1,Gene
Gene::2912,GRM2,Gene
Gene::1051,CEBPB,Gene
Gene::7070,THY1,Gene
Gene::84189,SLITRK6,Gene
Gene::338442,HCAR2,Gene
Gene::409,ARRB2,Gene
Gene::9719,ADAMTSL2,Gene
Gene::5741,PTH,Gene
Gene::10018,BCL2L11,Gene
Gene::29127,RACGAP1,Gene
Gene::64965,MRPS9,Gene
Gene::1586,CYP17A1,Gene
Gene::23705,CADM1,Gene
Gene::6794,STK11,Gene
Gene::7155,TOP2B,Gene
Gene::6781,STC1,Gene
Gene::6500,SKP1,Gene
Gene::1725,DHPS,Gene
Gene::1027,CDKN1B,Gene
Gene::1374,CPT1A,Gene
Gene::8945,BTRC,Gene
Gene::9733,SART3,Gene
Gene::7226,TRPM2,Gene
Gene::2487,FRZB,Gene
Gene::408,ARRB1,Gene
Gene::602,BCL3,Gene
Gene::6787,NEK4,Gene
Gene::8676,STX11,Gene
Gene::168667,BMPER,Gene
Gene::78997,GDAP1L1,Gene
Gene::6231,RPS26,Gene
Gene::3659,IRF1,Gene
Gene::25913,POT1,Gene
Gene::54413,NLGN3,Gene
Gene::3798,KIF5A,Gene
Gene::5159,PDGFRB,Gene
Gene::387,RHOA,Gene
Gene::2803,GOLGA4,Gene
Gene::2185,PTK2B,Gene
Gene::26508,HEYL,Gene
Gene::10109,ARPC2,Gene
Gene::93624,TADA2B,Gene
Gene::54431,DNAJC10,Gene
Gene::5685,PSMA4,Gene
Gene::113,ADCY7,Gene
Gene::64005,MYO1G,Gene
Gene::79085,SLC25A23,Gene
Gene::5170,PDPK1,Gene
Gene::22846,VASH1,Gene
Gene::8350,HIST1H3A,Gene
Gene::10252,SPRY1,Gene
Gene::3108,HLA-DMA,Gene
Gene::6857,SYT1,Gene
Gene::79809,TTC21B,Gene
Gene::1501,CTNND2,Gene
Gene::10142,AKAP9,Gene
Gene::84166,NLRC5,Gene
Gene::4909,NTF4,Gene
Gene::23028,KDM1A,Gene
Gene::27161,AGO2,Gene
Gene::6774,STAT3,Gene
Gene::7480,WNT10B,Gene
Gene::50964,SOST,Gene
Gene::11334,TUSC2,Gene
Gene::6469,SHH,Gene
Gene::3397,ID1,Gene
Gene::2653,GCSH,Gene
Gene::1445,CSK,Gene
Gene::55558,PLXNA3,Gene
Gene::2150,F2RL1,Gene
Gene::1760,DMPK,Gene
Gene::8370,HIST2H4A,Gene
Gene::133522,PPARGC1B,Gene
Gene::10436,EMG1,Gene
Gene::55072,RNF31,Gene
Gene::7414,VCL,Gene
Gene::5362,PLXNA2,Gene
Gene::5468,PPARG,Gene
Gene::5592,PRKG1,Gene
Gene::1399,CRKL,Gene
Gene::1814,DRD3,Gene
Gene::4988,OPRM1,Gene
Gene::5286,PIK3C2A,Gene
Gene::5449,POU1F1,Gene
Gene::7852,CXCR4,Gene
Gene::4211,MEIS1,Gene
Gene::4217,MAP3K5,Gene
Gene::4889,NPY5R,Gene
Gene::7040,TGFB1,Gene
Gene::10424,PGRMC2,Gene
Gene::4796,TONSL,Gene
Gene::55858,TMEM165,Gene
Gene::8013,NR4A3,Gene
Gene::2717,GLA,Gene
Gene::6659,SOX4,Gene
Gene::5020,OXT,Gene
Gene::3656,IRAK2,Gene
Gene::2566,GABRG2,Gene
Gene::5716,PSMD10,Gene
Gene::6899,TBX1,Gene
Gene::57599,WDR48,Gene
Gene::154,ADRB2,Gene
Gene::6096,RORB,Gene
Gene::6233,RPS27A,Gene
Gene::144100,PLEKHA7,Gene
Gene::8661,EIF3A,Gene
Gene::5691,PSMB3,Gene
Gene::26119,LDLRAP1,Gene
Gene::10935,PRDX3,Gene
Gene::324,APC,Gene
Gene::88,ACTN2,Gene
Gene::2796,GNRH1,Gene
Gene::55083,KIF26B,Gene
Gene::5290,PIK3CA,Gene
Gene::57535,KIAA1324,Gene
Gene::54880,BCOR,Gene
Gene::952,CD38,Gene
Gene::1386,ATF2,Gene
Gene::857,CAV1,Gene
Gene::229,ALDOB,Gene
Gene::7023,TFAP4,Gene
Gene::124925,SEZ6,Gene
Gene::26012,NSMF,Gene
Gene::10892,MALT1,Gene
Gene::8322,FZD4,Gene
Gene::5698,PSMB9,Gene
Gene::272,AMPD3,Gene
Gene::6387,CXCL12,Gene
Gene::57534,MIB1,Gene
Gene::10393,ANAPC10,Gene
Gene::60,ACTB,Gene
Gene::8995,TNFSF18,Gene
Gene::7164,TPD52L1,Gene
Gene::1191,CLU,Gene
Gene::27183,VPS4A,Gene
Gene::1031,CDKN2C,Gene
Gene::11261,CHP1,Gene
Gene::1012,CDH13,Gene
Gene::10411,RAPGEF3,Gene
Gene::6597,SMARCA4,Gene
Gene::6722,SRF,Gene
Gene::30011,SH3KBP1,Gene
Gene::5328,PLAU,Gene
Gene::1469,CST1,Gene
Gene::1739,DLG1,Gene
Gene::27230,SERP1,Gene
Gene::6139,RPL17,Gene
Gene::11096,ADAMTS5,Gene
Gene::8692,HYAL2,Gene
Gene::1952,CELSR2,Gene
Gene::26036,ZNF451,Gene
Gene::1896,EDA,Gene
Gene::89765,RSPH1,Gene
Gene::1642,DDB1,Gene
Gene::3817,KLK2,Gene
Gene::3383,ICAM1,Gene
Gene::285671,RNF180,Gene
Gene::10600,USP16,Gene
Gene::3678,ITGA5,Gene
Gene::25902,MTHFD1L,Gene
Gene::9572,NR1D1,Gene
Gene::101,ADAM8,Gene
Gene::57520,HECW2,Gene
Gene::916,CD3E,Gene
Gene::5710,PSMD4,Gene
Gene::93,ACVR2B,Gene
Gene::6720,SREBF1,Gene
Gene::64963,MRPS11,Gene
Gene::5071,PARK2,Gene
Gene::6715,SRD5A1,Gene
Gene::11200,CHEK2,Gene
Gene::3993,LLGL2,Gene
Gene::90780,PYGO2,Gene
Gene::6423,SFRP2,Gene
Gene::8744,TNFSF9,Gene
Gene::8531,YBX3,Gene
Gene::119504,ANAPC16,Gene
Gene::160492,LMNTD1,Gene
Gene::10049,DNAJB6,Gene
Gene::6770,STAR,Gene
Gene::5693,PSMB5,Gene
Gene::2065,ERBB3,Gene
Gene::5348,FXYD1,Gene
Gene::25820,ARIH1,Gene
Gene::23263,MCF2L,Gene
Gene::9352,TXNL1,Gene
Gene::3009,HIST1H1B,Gene
Gene::5927,KDM5A,Gene
Gene::6400,SEL1L,Gene
Gene::5604,MAP2K1,Gene
Gene::5922,RASA2,Gene
Gene::169981,SPIN3,Gene
Gene::6280,S100A9,Gene
Gene::334,APLP2,Gene
Gene::3727,JUND,Gene
Gene::1983,EIF5,Gene
Gene::8737,RIPK1,Gene
Gene::2247,FGF2,Gene
Gene::8325,FZD8,Gene
Gene::1390,CREM,Gene
Gene::5580,PRKCD,Gene
Gene::4821,NKX2-2,Gene
Gene::3123,HLA-DRB1,Gene
Gene::5694,PSMB6,Gene
Gene::9555,H2AFY,Gene
Gene::27347,STK39,Gene
Gene::25819,CCRN4L,Gene
Gene::10714,POLD3,Gene
Gene::51119,SBDS,Gene
Gene::5781,PTPN11,Gene
Gene::109,ADCY3,Gene
Gene::867,CBL,Gene
Gene::2904,GRIN2B,Gene
Gene::10540,DCTN2,Gene
Gene::6439,SFTPB,Gene
Gene::815,CAMK2A,Gene
Gene::11338,U2AF2,Gene
Gene::50617,ATP6V0A4,Gene
Gene::4087,SMAD2,Gene
Gene::3606,IL18,Gene
Gene::627,BDNF,Gene
Gene::7474,WNT5A,Gene
Gene::79652,TMEM204,Gene
Gene::63894,VIPAS39,Gene
Gene::170690,ADAMTS16,Gene
Gene::10505,SEMA4F,Gene
Gene::2668,GDNF,Gene
Gene::5599,MAPK8,Gene
Gene::3575,IL7R,Gene
Gene::708,C1QBP,Gene
Gene::367,AR,Gene
Gene::114609,TIRAP,Gene
Gene::2898,GRIK2,Gene
Gene::2353,FOS,Gene
Gene::57506,MAVS,Gene
Gene::6138,RPL15,Gene
Gene::3710,ITPR3,Gene
Gene::9607,CARTPT,Gene
Gene::6670,SP3,Gene
Gene::6548,SLC9A1,Gene
Gene::80854,SETD7,Gene
Gene::222229,LRWD1,Gene
Gene::1394,CRHR1,Gene
Gene::3624,INHBA,Gene
Gene::23373,CRTC1,Gene
Gene::51232,CRIM1,Gene
Gene::7535,ZAP70,Gene
Gene::6928,HNF1B,Gene
Gene::966,CD59,Gene
Gene::358,AQP1,Gene
Gene::1583,CYP11A1,Gene
Gene::286187,PPP1R42,Gene
Gene::1969,EPHA2,Gene
Gene::3110,MNX1,Gene
Gene::57820,CCNB1IP1,Gene
Gene::1236,CCR7,Gene
Gene::112869,CCDC101,Gene
Gene::7378,UPP1,Gene
Gene::84293,FAM213A,Gene
Gene::11077,HSF2BP,Gene
Gene::554235,ASPDH,Gene
Gene::1161,ERCC8,Gene
Gene::3688,ITGB1,Gene
Gene::8398,PLA2G6,Gene
Gene::10276,NET1,Gene
Gene::92815,HIST3H2A,Gene
Gene::6752,SSTR2,Gene
Gene::9759,HDAC4,Gene
Gene::3021,H3F3B,Gene
Gene::4093,SMAD9,Gene
Gene::10197,PSME3,Gene
Gene::79139,DERL1,Gene
Gene::6402,SELL,Gene
Gene::8352,HIST1H3C,Gene
Gene::1775,DNASE1L2,Gene
Gene::2648,KAT2A,Gene
Gene::6830,SUPT6H,Gene
Gene::128209,KLF17,Gene
Gene::2253,FGF8,Gene
Gene::26058,GIGYF2,Gene
Gene::6169,RPL38,Gene
Gene::2876,GPX1,Gene
Gene::755,C21orf2,Gene
Gene::8503,PIK3R3,Gene
Gene::23057,NMNAT2,Gene
Gene::1107,CHD3,Gene
Gene::257397,TAB3,Gene
Gene::3117,HLA-DQA1,Gene
Gene::7066,THPO,Gene
Gene::3685,ITGAV,Gene
Gene::23586,DDX58,Gene
Gene::6041,RNASEL,Gene
Gene::2801,GOLGA2,Gene
Gene::8831,SYNGAP1,Gene
Gene::6036,RNASE2,Gene
Gene::9227,LRAT,Gene
Gene::4068,SH2D1A,Gene
Gene::50840,TAS2R14,Gene
Gene::322,APBB1,Gene
Gene::2138,EYA1,Gene
Gene::623,BDKRB1,Gene
Gene::3759,KCNJ2,Gene
Gene::9501,RPH3AL,Gene
Gene::847,CAT,Gene
Gene::6590,SLPI,Gene
Gene::7484,WNT9B,Gene
Gene::9649,RALGPS1,Gene
Gene::10807,SDCCAG3,Gene
Gene::6137,RPL13,Gene
Gene::30819,KCNIP2,Gene
Gene::2697,GJA1,Gene
Gene::6569,SLC34A1,Gene
Gene::1301,COL11A1,Gene
Gene::2530,FUT8,Gene
Gene::57732,ZFYVE28,Gene
Gene::25939,SAMHD1,Gene
Gene::29,ABR,Gene
Gene::8911,CACNA1I,Gene
Gene::149233,IL23R,Gene
